Iteration,Cost,Effectiveness,t_bradyc,t_discountedlifeyear,t_dl_se,t_hyperk,t_hypot,t_lifeyear,t_numberofdeath,t_numberofhfh,t_reimp,t_se,t_walk,profile
234,32.63,0.50875705,0,0.777149862,0,0,0,0.78630137,1,0,0,0,1,base
526,32.63,0.50875705,0,0.777149862,0,0,0,0.78630137,1,0,0,0,1,base
694,32.63,0.50875705,0,0.777149862,0,0,0,0.78630137,1,0,0,0,1,base
754,32.63,0.50875705,0,0.777149862,0,0,0,0.78630137,1,0,0,0,1,base
1230,32.63,0.50875705,0,0.777149862,0,0,0,0.78630137,1,0,0,0,1,base
124,32.63,0.521244715,0,0.795877454,0,0,0,0.805479452,1,0,0,0,1,base
1036,32.63,0.521244715,0,0.795877454,0,0,0,0.805479452,1,0,0,0,1,base
1259,32.63,0.521244715,0,0.795877454,0,0,0,0.805479452,1,0,0,0,1,base
104,32.63,0.533728818,0,0.814594288,0,0,0,0.824657534,1,0,0,0,1,base
578,32.63,0.533728818,0,0.814594288,0,0,0,0.824657534,1,0,0,0,1,base
776,32.63,0.533728818,0,0.814594288,0,0,0,0.824657534,1,0,0,0,1,base
943,32.63,0.533728818,0,0.814594288,0,0,0,0.824657534,1,0,0,0,1,base
967,32.63,0.533728818,0,0.814594288,0,0,0,0.824657534,1,0,0,0,1,base
695,32.63,0.546209358,0,0.833300371,0,0,0,0.843835616,1,0,0,0,1,base
682,32.63,0.558686339,0,0.851995707,0,0,0,0.863013699,1,0,0,0,1,base
848,14049.53916,0.55667331,0,0.851995707,0,0,0,0.863013699,1,1,0,0,1,base
964,32.63,0.558686339,0,0.851995707,0,0,0,0.863013699,1,0,0,0,1,base
430,32.63,0.571159759,0,0.870680299,0,0,0,0.882191781,1,0,0,0,1,base
559,32.63,0.571159759,0,0.870680299,0,0,0,0.882191781,1,0,0,0,1,base
628,32.63,0.571159759,0,0.870680299,0,0,0,0.882191781,1,0,0,0,1,base
679,32.63,0.571159759,0,0.870680299,0,0,0,0.882191781,1,0,0,0,1,base
8,32.63,0.583629621,0,0.889354154,0,0,0,0.901369863,1,0,0,0,1,base
201,32.63,0.583629621,0,0.889354154,0,0,0,0.901369863,1,0,0,0,1,base
1081,32.63,0.583629621,0,0.889354154,0,0,0,0.901369863,1,0,0,0,1,base
