Profile,t_lifeyear,t_numberofdeath
Base,9.761643836,1
Base,3.547945205,1
Base,2.684931507,1
Base,13.30958904,1
Base,6.443835616,1
Base,7,1
Base,4.890410959,1
Base,1.016438356,1
Base,9.934246575,1
Base,1.150684932,1
Base,7.536986301,1
Base,3.509589041,1
Base,13.44383562,1
Base,3.471232877,1
Base,6.443835616,1
Base,3.394520548,1
Base,14.92054795,1
Base,17.31780822,1
Base,6.750684932,1
Base,4.621917808,1
Base,0.095890411,1
Base,5.77260274,1
Base,4.545205479,1
Base,1.630136986,1
Base,2.589041096,1
Base,4.890410959,1
Base,8.591780822,1
Base,3.049315068,1
Base,6.635616438,1
Base,0.978082192,1
Base,6.367123288,1
Base,0.920547945,1
Base,6.194520548,1
Base,6.290410959,1
Base,1.726027397,1
Base,3.950684932,1
Base,1.073972603,1
Base,12.96438356,1
Base,5.523287671,1
Base,15.13150685,1
Base,9.263013699,1
Base,4.02739726,1
Base,7.536986301,1
Base,4.736986301,1
Base,8.630136986,1
Base,22.66849315,1
Base,0.210958904,1
Base,4.852054795,1
Base,15.7260274,1
Base,6.252054795,1
Base,8.553424658,1
Base,3.643835616,1
Base,4.353424658,1
Base,1.342465753,1
Base,0.863013699,1
Base,18.54520548,1
Base,5.734246575,1
Base,7.939726027,1
Base,5.676712329,1
Base,7.728767123,1
Base,10.58630137,1
Base,0.997260274,1
Base,0.632876712,1
Base,2.991780822,1
Base,7.863013699,1
Base,7.767123288,1
Base,1.4,1
Base,7.939726027,1
Base,1.361643836,1
Base,11.79452055,1
Base,4.391780822,1
Base,3.528767123,1
Base,6.309589041,1
Base,4.295890411,1
Base,5.580821918,1
Base,3.452054795,1
Base,3.893150685,1
Base,7.997260274,1
Base,4.180821918,1
Base,0.460273973,1
Base,0.747945205,1
Base,0.134246575,1
Base,4.046575342,1
Base,4.2,1
Base,7.536986301,1
Base,14.80547945,1
Base,7.843835616,1
Base,4.852054795,1
Base,10.43287671,1
Base,10.16438356,1
Base,19.3890411,1
Base,12.9260274,1
Base,12.17808219,1
Base,7.364383562,1
Base,0.671232877,1
Base,11.16164384,1
Base,9.512328767,1
Base,1.246575342,1
Base,0.824657534,1
Base,0.652054795,1
Base,17.43287671,1
Base,0.134246575,1
Base,1.208219178,1
Base,7.95890411,1
Base,3.183561644,1
Base,2.531506849,1
Base,0.095890411,1
Base,9.397260274,1
Base,12.17808219,1
Base,2.704109589,1
Base,1.073972603,1
Base,1.131506849,1
Base,7,1
Base,5.810958904,1
Base,0.268493151,1
Base,9.090410959,1
Base,9.167123288,1
Base,3.394520548,1
Base,11.14246575,1
Base,2.473972603,1
Base,4.2,1
Base,3.356164384,1
Base,0.920547945,1
Base,13.21369863,1
Base,7.038356164,1
Base,0.019178082,1
Base,2.01369863,1
Base,2.205479452,1
Base,8.956164384,1
Base,6.923287671,1
Base,8.936986301,1
Base,0.057534247,1
Base,18.83287671,1
Base,21.90136986,1
Base,9.032876712,1
Base,2.665753425,1
